Image Alt,Image Src
UC San Diego Tritons,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/28.png&scale=crop&cquality=40&location=origin&w=80&h=80
UC Santa Barbara Gauchos,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2540.png&scale=crop&cquality=40&location=origin&w=80&h=80
Campbell Fighting Camels,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2097.png&scale=crop&cquality=40&location=origin&w=80&h=80
Charleston Cougars,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/232.png&scale=crop&cquality=40&location=origin&w=80&h=80
Delaware Blue Hens,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/48.png&scale=crop&cquality=40&location=origin&w=80&h=80
Drexel Dragons,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2182.png&scale=crop&cquality=40&location=origin&w=80&h=80
Elon Phoenix,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2210.png&scale=crop&cquality=40&location=origin&w=80&h=80
Hampton Pirates,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2261.png&scale=crop&cquality=40&location=origin&w=80&h=80
Hofstra Pride,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2275.png&scale=crop&cquality=40&location=origin&w=80&h=80
Monmouth Hawks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2405.png&scale=crop&cquality=40&location=origin&w=80&h=80
North Carolina A&T Aggies,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2448.png&scale=crop&cquality=40&location=origin&w=80&h=80
Northeastern Huskies,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/111.png&scale=crop&cquality=40&location=origin&w=80&h=80
Stony Brook Seawolves,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2619.png&scale=crop&cquality=40&location=origin&w=80&h=80
Towson Tigers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/119.png&scale=crop&cquality=40&location=origin&w=80&h=80
UNC Wilmington Seahawks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/350.png&scale=crop&cquality=40&location=origin&w=80&h=80
William & Mary Tribe,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2729.png&scale=crop&cquality=40&location=origin&w=80&h=80
Florida International Panthers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2229.png&scale=crop&cquality=40&location=origin&w=80&h=80
Jacksonville State Gamecocks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/55.png&scale=crop&cquality=40&location=origin&w=80&h=80
Kennesaw State Owls,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/338.png&scale=crop&cquality=40&location=origin&w=80&h=80
Liberty Flames,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2335.png&scale=crop&cquality=40&location=origin&w=80&h=80
Louisiana Tech Bulldogs,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2348.png&scale=crop&cquality=40&location=origin&w=80&h=80
Middle Tennessee Blue Raiders,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2393.png&scale=crop&cquality=40&location=origin&w=80&h=80
New Mexico State Aggies,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/166.png&scale=crop&cquality=40&location=origin&w=80&h=80
Sam Houston Bearkats,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2534.png&scale=crop&cquality=40&location=origin&w=80&h=80
UTEP Miners,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2638.png&scale=crop&cquality=40&location=origin&w=80&h=80
